,state,poverty_score,avg_student_enrollment,education_score,avg_unemp,unemp_score,average_cpi_2011_2020,cpi_score,__fileposition__
1,"Andhra Pradesh   ",2.0,74.75,1.0,3.5,17.0,133.17,6.0,0
2,"Arunachal Pradesh",16.0,84.63,13.0,6.0,5.0,124.8,26.0,73
3,"Assam            ",17.0,101.13,23.0,4.9,10.0,131.85,12.0,146
4,"Bihar            ",1.0,77.88,4.0,5.8,6.0,132.56,11.0,219
5,"Chhattisgarh     ",14.0,82.75,10.0,2.0,22.0,132.66,10.0,292
6,"Goa              ",10.0,102.63,24.0,9.5,2.0,132.87,9.0,365
7,"Gujarat          ",18.0,88.25,16.0,2.1,21.0,131.51,14.0,438
8,"Haryana          ",13.0,83.75,12.0,5.3,8.0,129.08,20.0,511
9,"Himachal Pradesh ",18.0,96.25,20.0,4.3,13.0,129.81,18.0,584
10,"Jharkhand        ",5.0,78.5,6.0,4.0,16.0,133.3,5.0,657
11,"Karnataka        ",5.0,78.75,7.0,2.5,19.0,135.97,1.0,730
12,"Kerala           ",7.0,108.25,27.0,9.5,2.0,134.91,2.0,803
13,"Madhya Pradesh   ",13.0,80.25,8.0,2.5,19.0,131.62,13.0,876
14,"Maharashtra      ",19.0,93.5,19.0,3.1,18.0,130.68,16.0,949
15,"Manipur          ",3.0,77.25,3.0,5.6,7.0,131.43,15.0,1022
16,"Meghalaya        ",17.0,97.5,21.0,2.4,20.0,134.41,4.0,1095
17,"Mizoram          ",20.0,104.88,26.0,4.2,14.0,130.58,17.0,1168
18,"Nagaland         ",10.0,80.63,9.0,13.5,1.0,125.2,25.0,1241
19,"Odisha           ",6.0,83.5,11.0,5.0,9.0,133.04,8.0,1314
20,"Punjab           ",15.0,89.5,17.0,5.6,7.0,129.6,19.0,1387
21,"Rajasthan        ",14.0,75.88,2.0,3.5,17.0,127.1,23.0,1460
22,"Sikkim           ",17.0,87.62,15.0,5.3,8.0,127.6,22.0,1533
23,"Tamil Nadu       ",8.0,93.25,18.0,4.6,11.0,134.46,3.0,1606
24,"Telangana        ",9.0,77.88,4.0,4.5,12.0,129.81,18.0,1679
25,"Tripura          ",4.0,98.63,22.0,8.199999999999999,3.0,135.97,1.0,1752
26,"Uttar Pradesh    ",12.0,78.0,5.0,4.6,11.0,128.4,21.0,1825
27,"Uttarakhand      ",19.0,104.38,25.0,6.1,4.0,125.5,24.0,1898
28,"West Bengal      ",11.0,84.88,14.0,4.1,15.0,133.14,7.0,1971
